Date,Open,High,Low,Close,Adj Close,Volume
2008-01-02,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-03,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-01-04,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-07,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-08,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-01-09,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-01-10,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-01-11,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-01-14,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-01-15,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-16,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-17,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-01-18,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-21,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-01-22,0.466788,0.468977,0.466788,0.466788,0.466788,0
2008-01-23,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-01-24,0.466788,0.467880,0.466309,0.466788,0.466788,0
2008-01-25,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-01-28,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-01-29,0.466788,0.467880,0.466788,0.466788,0.466788,0
2008-01-30,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-01-31,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-01,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-02-04,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-05,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-06,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-07,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-08,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-11,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-12,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-13,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-14,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-02-15,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-18,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-19,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-20,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-21,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-22,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-25,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-26,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-27,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-02-28,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-02-29,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-03-03,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-03-04,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-03-05,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-03-06,0.466788,0.467880,0.466788,0.466788,0.466788,0
2008-03-07,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-03-10,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-11,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-12,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-13,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-03-14,0.466788,0.470079,0.466309,0.466788,0.466788,0
2008-03-17,0.466788,0.467880,0.466309,0.466309,0.466309,0
2008-03-18,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-03-19,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-03-20,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-21,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-24,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-25,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-26,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-27,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-28,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-03-31,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-04-01,null,null,null,null,null,null
2008-04-02,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-03,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-04,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-04-07,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-08,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-04-09,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-10,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-11,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-14,0.466788,0.467880,0.466309,0.466788,0.466788,0
2008-04-15,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-16,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-17,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-18,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-04-21,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-04-22,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-04-23,0.466788,0.466788,0.466287,0.466287,0.466287,0
2008-04-24,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-25,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-04-28,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-29,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-04-30,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-01,null,null,null,null,null,null
2008-05-02,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-05,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-06,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-07,0.466788,0.466788,0.466287,0.466788,0.466788,0
2008-05-08,0.466788,0.467880,0.466309,0.466788,0.466788,0
2008-05-09,0.466788,0.466788,0.466287,0.466309,0.466309,0
2008-05-12,0.466309,0.466309,0.466309,0.466309,0.466309,0
2008-05-13,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-14,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-15,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-16,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-05-19,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-20,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-05-21,0.466788,0.466788,0.466092,0.466788,0.466788,0
2008-05-22,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-05-23,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-05-26,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-05-27,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-28,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-05-29,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-05-30,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-02,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-03,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-06-04,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-06-05,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-06,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-06-09,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-10,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-11,0.466788,0.466788,0.466309,0.466309,0.466309,0
2008-06-12,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-06-13,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-06-16,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-17,0.466788,0.466788,0.466092,0.466788,0.466788,0
2008-06-18,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-19,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-20,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-23,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-24,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-25,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-26,0.466788,0.466788,0.466309,0.466788,0.466788,0
2008-06-27,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-06-30,0.466788,0.466788,0.466287,0.466309,0.466309,0
2008-07-01,null,null,null,null,null,null
2008-07-02,0.466788,0.466788,0.466788,0.466788,0.466788,0
2008-07-03,0.466788,0.468977,0.466788,0.468977,0.468977,0
2008-07-04,0.468977,0.468977,0.466788,0.466788,0.466788,0
