Date,Open,High,Low,Close,Adj Close,Volume
2005-01-03,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-04,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-05,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-06,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-07,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-10,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-11,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-12,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-13,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-14,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-17,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-18,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-19,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-20,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-21,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-24,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-25,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-26,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-27,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-28,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-01-31,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-01,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-02,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-03,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-04,0.120970,0.121117,0.120970,0.120970,0.120970,0
2005-02-07,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-08,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-09,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-10,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-11,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-14,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-15,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-16,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-17,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-18,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-21,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-22,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-23,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-24,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-25,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-02-28,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-01,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-02,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-03,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-04,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-07,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-08,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-09,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-10,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-11,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-14,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-15,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-16,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-17,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-18,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-21,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-22,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-23,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-24,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-25,0.120824,0.120970,0.120678,0.120824,0.120824,0
2005-03-28,0.120825,0.120825,0.120825,0.120825,0.120825,0
2005-03-29,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-30,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-03-31,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-04-01,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-04-04,0.120970,0.120970,0.120970,0.120970,0.120970,0
2005-04-05,0.120970,0.120970,0.120970,0.120970,0.120970,0
